ppm,intensity
296.277735,-1978602.0
296.229201,-1541316.0
296.180668,-1119061.0
296.132134,-725615.0
296.0836,-370606.0
296.03506600000003,-58239.0
295.986532,212912.0
295.93799900000005,448251.0
295.889465,653626.0
295.840931,831324.0
295.792397,977841.0
295.74386400000003,1085063.0
295.69532999999996,1144578.0
295.646796,1152912.0
295.59826200000003,1114630.0
295.54972799999996,1041239.0
295.501195,946355.0
295.452661,839918.0
295.404127,724584.0
295.355593,595682.0
295.30706000000004,443995.0
295.25852599999996,259826.0
295.209992,37127.0
295.161458,-223095.0
295.112924,-510740.0
295.064391,-806426.0
295.015857,-1083271.0
294.967323,-1310704.0
294.918789,-1460176.0
294.870256,-1511974.0
294.821722,-1460993.0
294.773188,-1318995.0
294.724654,-1112143.0
294.67612,-874856.0
294.627587,-642305.0
294.579053,-443898.0
294.53051899999997,-299096.0
294.481985,-216008.0
294.433452,-192462.0
294.384918,-218819.0
294.336384,-281896.0
294.28785,-369298.0
294.23931600000003,-472972.0
294.190783,-590359.0
294.14224900000005,-722202.0
294.093715,-868232.0
294.045181,-1023479.0
293.996648,-1177391.0
293.94811400000003,-1315615.0
293.89957999999996,-1422769.0
293.851046,-1484817.0
293.80251200000004,-1490887.0
293.753979,-1434806.0
293.705445,-1316222.0
293.656911,-1140894.0
293.608377,-920028.0
293.559844,-668905.0
293.51131000000004,-405229.0
293.46277599999996,-147457.0
293.414242,86930.0
293.365708,283522.0
293.317175,433696.0
293.268641,537465.0
293.220107,605109.0
293.171573,656322.0
293.12304,716811.0
293.074506,813371.0
293.025972,968576.0
292.977438,1195808.0
292.928904,1495271.0
292.88037099999997,1852014.0
292.831837,2237029.0
292.783303,2611749.0
292.734769,2935333.0
292.686236,3172923.0
292.637702,3302345.0
292.58916800000003,3316655.0
292.540634,3221592.0
292.492101,3029611.0
292.443567,2753977.0
292.395033,2405799.0
292.346499,1994750.0
292.297965,1531944.0
292.24943199999996,1032503.0
292.200898,515602.0
292.15236400000003,1457.0
292.10382999999996,-493276.0
292.055297,-958948.0
292.006763,-1393493.0
291.958229,-1800388.0
291.909695,-2185493.0
291.861161,-2553740.0
291.81262799999996,-2905901.0
291.764094,-3235816.0
291.71556,-3529020.0
291.66702599999996,-3763515.0
291.618493,-3912873.0
291.569959,-3951458.0
291.521425,-3861220.0
291.472891,-3638221.0
291.424357,-3295903.0
291.375824,-2862733.0
291.32729,-2374949.0
291.278756,-1867797.0
291.230222,-1369058.0
291.181689,-896530.0
291.133155,-458849.0
291.08462099999997,-57668.0
291.036087,310593.0
290.987553,654114.0
290.93902,985032.0
290.890486,1317150.0
290.841952,1661616.0
290.79341800000003,2022465.0
290.744885,2394373.0
290.696351,2763242.0
290.647817,3108436.0
290.599283,3405698.0
290.550749,3631021.0
290.50221600000003,3765534.0
290.45368199999996,3799716.0
290.405148,3734631.0
290.35661400000004,3579859.0
290.308081,3350548.0
290.259547,3065991.0
290.211013,2749364.0
290.162479,2426065.0
290.113945,2119175.0
290.06541200000004,1843435.0
290.01687799999996,1600811.0
289.968344,1379807.0
289.91981,1159061.0
289.871277,914535.0
289.822743,628694.0
